Sidebar item,Item key,Name,Raw key,User value,Unit
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_heatpump_ground_water_electricity,,COP
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_hybrid_crude_oil_heatpump_air_water_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_hybrid_heatpump_air_water_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_network_gas,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_wood_pellets,,%
Costs & efficiencies,Hydrogen carriers and ammonia,Hydrogen production,efficiency_hydrogen_electrolysis,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_industry_chp_engine_gas_power_fuelmix_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_industry_chp_engine_gas_power_fuelmix_heat,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_industry_chp_turbine_gas_power_fuelmix_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_industry_chp_turbine_gas_power_fuelmix_heat,,%
Costs & efficiencies,Renewable electricity,Hydrogen plants,efficiency_industry_chp_turbine_hydrogen_electricity,,%
Costs & efficiencies,Renewable electricity,Hydrogen plants,efficiency_industry_chp_turbine_hydrogen_heat,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_industry_chp_ultra_supercritical_coal_electricity,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_industry_chp_ultra_supercritical_coal_heat,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_industry_chp_wood_pellets_electricity,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_industry_chp_wood_pellets_heat,,%
Costs & efficiencies,Flexibility,Electricity storage,efficiency_transport_flexibility_p2p_electricity,,%
Flexibility,Import and export of electricity,Interconnector 10,electricity_interconnector_10_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 10,electricity_interconnector_10_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 10,electricity_interconnector_10_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 10,electricity_interconnector_10_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 10,electricity_interconnector_10_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 10,electricity_interconnector_10_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 11,electricity_interconnector_11_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 11,electricity_interconnector_11_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 11,electricity_interconnector_11_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 11,electricity_interconnector_11_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 11,electricity_interconnector_11_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 11,electricity_interconnector_11_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 12,electricity_interconnector_12_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 12,electricity_interconnector_12_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 12,electricity_interconnector_12_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 12,electricity_interconnector_12_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 12,electricity_interconnector_12_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 12,electricity_interconnector_12_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 1,electricity_interconnector_1_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 1,electricity_interconnector_1_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 1,electricity_interconnector_1_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 1,electricity_interconnector_1_export_availability,,%
