Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
753,Emissions,CCUS,Capture of CO2 in energy sector,Hydrogen,Autothermal reforming (must-run) + CCS,,share_of_energy_hydrogen_autothermal_reformer_ccs_must_run,
754,Emissions,CCUS,Capture of CO2 in energy sector,Hydrogen,Biomass gasification + CCS,,share_of_energy_hydrogen_biomass_gasification_ccs,
755,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Steel industry,,share_of_industry_steel_captured_co2,
756,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Fertilizer industry (process),,share_of_industry_chemicals_fertilizers_captured_processes_co2,
757,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Fertilizer industry (combustion),,share_of_industry_chemicals_fertilizers_captured_combustion_co2,
758,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Paper industry,,share_of_industry_other_paper_captured_co2,
759,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Food industry,,share_of_industry_other_food_captured_co2,
760,Emissions,CCUS,Import of CO2,Import CO2,,,volume_of_molecules_import_co2_baseload,
761,Emissions,CCUS,Utilisation and storage of CO2,Sequestration ,Offshore storage,,demand_of_molecules_offshore_sequestration_co2,
762,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (must-run),Synthetic kerosene,,output_of_energy_production_synthetic_kerosene_must_run,
763,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (must-run),Synthetic methanol,,output_of_energy_production_synthetic_methanol,
764,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (must-run),Other utilisation,,demand_of_molecules_other_utilisation_co2,
765,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (dispatchable),Synthetic kerosene,,capacity_of_energy_production_synthetic_kerosene_dispatchable,
766,Emissions,CCUS,Utilisation and storage of CO2,Transport of CO2,Pipelines,,share_of_molecules_transport_pipelines_co2,
767,Emissions,CCUS,Utilisation and storage of CO2,Transport of CO2,Liquefied in ships,,share_of_molecules_transport_ships_co2,
768,Emissions,Emission factors,CO2 emissions of imported heat,CO2 emissions of imported heat,,,co2_emissions_of_imported_heat,
769,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Hydrogen,,,co2_emissions_of_imported_hydrogen_future,
770,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Liquid hydrogen,,,co2_emissions_of_imported_liquid_hydrogen_future,
771,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,LOHC,,,co2_emissions_of_imported_lohc_future,
772,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Ammonia,,,co2_emissions_of_imported_ammonia_future,
773,Costs & efficiencies,Electricity,Coal plants,Costs,Investment costs coal plant,,investment_costs_combustion_coal_plant,
774,Costs & efficiencies,Electricity,Coal plants,Costs,O&M costs coal plant,,om_costs_combustion_coal_plant,
775,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Pulverized coal,,efficiency_energy_power_ultra_supercritical_coal,
776,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Pulverized coal with co-firing,,efficiency_energy_power_ultra_supercritical_cofiring_coal,
777,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal IGCC,,efficiency_energy_power_combined_cycle_coal,
778,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal conventional ,,efficiency_energy_power_supercritical_coal,
779,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP - electricity,,efficiency_energy_chp_ultra_supercritical_coal_electricity,
780,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP - heat,,efficiency_energy_chp_ultra_supercritical_coal_heat,
781,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Co-firing coal CHP - electricity,,efficiency_energy_power_ultra_supercritical_cofiring_coal,
782,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Co-firing coal CHP - heat,,efficiency_energy_chp_ultra_supercritical_cofiring_coal_heat,
783,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP (industry) - electricity,,efficiency_industry_chp_ultra_supercritical_coal_electricity,
784,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP (industry) - heat,,efficiency_industry_chp_ultra_supercritical_coal_heat,
785,Costs & efficiencies,Electricity,Gas plants,Costs,Investment costs gas plant,,investment_costs_combustion_gas_plant,
786,Costs & efficiencies,Electricity,Gas plants,Costs,O&M costs gas plant,,om_costs_combustion_gas_plant,
787,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas CCGT,,efficiency_energy_power_combined_cycle_network_gas,
788,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas turbine,,efficiency_energy_power_turbine_network_gas,
789,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas conventional,,efficiency_energy_power_ultra_supercritical_network_gas,
790,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas combustion engine,,efficiency_energy_power_engine_network_gas,
791,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Large-scale gas CHP - electricity,,efficiency_energy_chp_combined_cycle_network_gas_electricity,
792,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Large-scale gas CHP - heat,,efficiency_energy_chp_combined_cycle_network_gas_heat,
793,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Small-scale gas CHP - electricity,,efficiency_energy_chp_local_engine_network_gas_electricity,
794,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Small-scale gas CHP - heat,,efficiency_energy_chp_local_engine_network_gas_heat,
795,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas CCGT CHP - electricity,,efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity,
796,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas CCGT CHP - heat,,efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat,
797,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas motor CHP - electricity,,efficiency_industry_chp_engine_gas_power_fuelmix_electricity,
798,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas motor CHP - heat,,efficiency_industry_chp_engine_gas_power_fuelmix_heat,
799,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas turbine CHP - electricity ,,efficiency_industry_chp_turbine_gas_power_fuelmix_electricity,
800,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas turbine CHP - heat,,efficiency_industry_chp_turbine_gas_power_fuelmix_heat,
801,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (dispatchable) - electricity,,efficiency_agriculture_chp_engine_dispatchable_network_gas_electricity,
802,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (dispatchable) - heat,,efficiency_agriculture_chp_engine_dispatchable_network_gas_heat,
803,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (must-run) - electricity,,efficiency_agriculture_chp_engine_must_run_network_gas_electricity,
804,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (must-run) - heat,,efficiency_agriculture_chp_engine_must_run_network_gas_heat,
805,Costs & efficiencies,Electricity,Oil plants,Costs,Investment costs oil plants,,investment_costs_combustion_oil_plant,
806,Costs & efficiencies,Electricity,Oil plants,Costs,O&M costs oil plants,,om_costs_combustion_oil_plant,
807,Costs & efficiencies,Electricity,Oil plants,Efficiencies (LHV),Oil-fired,,efficiency_energy_power_ultra_supercritical_crude_oil,
808,Costs & efficiencies,Electricity,Oil plants,Efficiencies (LHV),Diesel generator,,efficiency_energy_power_engine_diesel,
809,Costs & efficiencies,Electricity,Nuclear plants,Costs,Investment costs large reactors,,investment_costs_nuclear_nuclear_plant,
810,Costs & efficiencies,Electricity,Nuclear plants,Costs,O&M costs large reactors,,om_costs_nuclear_nuclear_plant,
811,Costs & efficiencies,Electricity,Nuclear plants,Costs,Investment costs small reactors,,investment_costs_nuclear_small_modular_reactor,
812,Costs & efficiencies,Electricity,Nuclear plants,Costs,O&M costs small reactors,,om_costs_nuclear_small_modular_reactor,
813,Costs & efficiencies,Electricity,Nuclear plants,Efficiences (LHV),Nuclear 2nd Gen,,efficiency_energy_power_nuclear_gen2_uranium_oxide,
814,Costs & efficiencies,Electricity,Nuclear plants,Efficiences (LHV),Nuclear 3rd Gen,,efficiency_energy_power_nuclear_gen3_uranium_oxide,
815,Costs & efficiencies,Electricity,Nuclear plants,Efficiences (LHV),Nuclear small modular reactor,,efficiency_energy_power_nuclear_small_modular_reactor_uranium_oxide,
816,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,Investment costs onshore,,investment_costs_wind_onshore,
817,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,O&M costs onshore,,om_costs_wind_onshore,
818,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,Investment costs offshore,,investment_costs_wind_offshore,
819,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,O&M costs offshore,,om_costs_wind_offshore,
820,Costs & efficiencies,Renewable electricity,Solar power,Costs,Investment costs solar panels,,investment_costs_solar_solar_panels,
821,Costs & efficiencies,Renewable electricity,Solar power,Costs,Investment costs concentrated solar power ,,investment_costs_solar_concentrated_solar_power,
822,Costs & efficiencies,Renewable electricity,Solar power,Efficiencies (LHV),Efficiency of solar panels ,,efficiency_energy_power_solar_pv_solar_radiation,
823,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,Investment costs hydro river,,investment_costs_water_river,
824,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,O&M costs hydro river,,om_costs_water_river,
825,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,Investment costs hydro mountains,,investment_costs_water_mountains,
826,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,O&M costs hydro mountains,,om_costs_water_mountains,
827,Costs & efficiencies,Renewable electricity,Biomass plants,Costs,Investment costs biomass plants,,investment_costs_combustion_biomass_plants,
828,Costs & efficiencies,Renewable electricity,Biomass plants,Costs,O&M costs biomass plant,,om_costs_combustion_biomass_plant,
829,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biomass CHP - electricity,,efficiency_energy_chp_local_wood_pellets_electricity,
830,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biomass CHP - heat,,efficiency_energy_chp_local_wood_pellets_heat,
831,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biogas CHP - electricity ,,efficiency_energy_chp_local_engine_biogas_electricity,
832,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biogas CHP - heat,,efficiency_energy_chp_local_engine_biogas_heat,
833,Costs & efficiencies,Renewable electricity,Biomass plants,Full load hours,Biomass power plant + CCS (must-run),,flh_of_energy_power_wood_pellets_ccs_must_run,
834,Costs & efficiencies,Renewable electricity,Biomass plants,Full load hours,Biomass MT CHP + CCS (must-run),,flh_of_energy_chp_local_mt_wood_pellets_ccs_must_run,
835,Costs & efficiencies,Renewable electricity,Biomass plants,Full load hours,Biomass HT CHP + CCS (must run),,flh_of_energy_chp_local_ht_wood_pellets_ccs_must_run,
836,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies industry sector (LHV),Biomass CHP - electricity,,efficiency_industry_chp_wood_pellets_electricity,
837,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies industry sector (LHV),Biomass CHP - heat,,efficiency_industry_chp_wood_pellets_heat,
838,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biomass CHP - electricity,,efficiency_agriculture_chp_wood_pellets_electricity,
839,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biomass CHP - heat,,efficiency_agriculture_chp_wood_pellets_heat,
840,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biogas CHP - electricity ,,efficiency_agriculture_chp_engine_biogas_electricity,
841,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biogas CHP - heat ,,efficiency_agriculture_chp_engine_biogas_heat,
842,Costs & efficiencies,Renewable electricity,Waste power,Costs,Investment costs waste incinerator,,investment_costs_combustion_waste_incinerator,
843,Costs & efficiencies,Renewable electricity,Waste power,Costs,O&M costs waste incinerator,,om_costs_combustion_waste_incinerator,
844,Costs & efficiencies,Renewable electricity,Waste power,Efficiencies (LHV),Waste incinerator,,efficiency_energy_power_supercritical_waste_mix,
845,Costs & efficiencies,Renewable electricity,Waste power,Efficiencies (LHV),Waste CHP - electricity,,efficiency_energy_chp_supercritical_waste_mix_electricity,
846,Costs & efficiencies,Renewable electricity,Waste power,Efficiencies (LHV),Waste CHP - heat,,efficiency_energy_chp_supercritical_waste_mix_heat,
847,Costs & efficiencies,Renewable electricity,Hydrogen plants,Costs,Investment costs hydrogen plants ,,investment_costs_combustion_hydrogen_plant,
848,Costs & efficiencies,Renewable electricity,Hydrogen plants,Costs,O&M costs hydrogen plant,,om_costs_combustion_hydrogen_plant,
849,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen turbine,,efficiency_energy_power_turbine_hydrogen,
850,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen plant (CCGT),,efficiency_energy_power_combined_cycle_hydrogen,
851,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen turbine CHP (industry) - electricity,,efficiency_industry_chp_turbine_hydrogen_electricity,
852,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen turbine CHP (industry) - heat,,efficiency_industry_chp_turbine_hydrogen_heat,
853,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new low voltage net,,,costs_infrastructure_electricity_lv_net,
854,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new lv-mv transformator,,,costs_infrastructure_electricity_lv_mv_trafo,
855,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new medium voltage net,,,costs_infrastructure_electricity_mv_net,
856,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new low mv-hv transformator,,,costs_infrastructure_electricity_mv_hv_trafo,
857,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new high voltage net,,,costs_infrastructure_electricity_hv_net,
858,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new interconnector net,,,costs_infrastructure_electricity_interconnector_net,
859,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new offshore net,,,costs_infrastructure_electricity_offshore_net,
860,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Condensing combi boiler (gas),,efficiency_households_space_heater_combined_network_gas,
861,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Condensing combi boiler (hydrogen),,efficiency_households_space_heater_combined_hydrogen,
862,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Wood pellet heater,,efficiency_households_space_heater_wood_pellets,
863,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Electric boiler,,efficiency_households_space_heater_electricity,
864,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Gas-fired heater,,efficiency_households_space_heater_network_gas,
865,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Oil-fired heater,,efficiency_households_space_heater_crude_oil,
866,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Ground heat pump,,efficiency_households_space_heater_heatpump_ground_water_electricity,
867,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Air heat pump,,efficiency_households_space_heater_heatpump_air_water_electricity,
868,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Hybrid air heat pump (gas),,efficiency_households_space_heater_hybrid_heatpump_air_water_electricity,
869,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Hybrid air heat pump (hydrogen),,efficiency_households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,
870,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Hybrid air heat pump (crude oil),,efficiency_households_space_heater_hybrid_crude_oil_heatpump_air_water_electricity,
871,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Condensing combi boiler (gas),,efficiency_buildings_space_heater_network_gas,
872,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Condensing combi boiler (hydrogen),,efficiency_buildings_space_heater_combined_hydrogen,
873,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Electric boiler,,efficiency_buildings_space_heater_electricity,
874,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Biomass-fired heater,,efficiency_buildings_space_heater_wood_pellets,
875,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Oil-fired heater,,efficiency_buildings_space_heater_crude_oil,
876,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Water heat pump with TS,,efficiency_buildings_space_heater_collective_heatpump_water_water_ts_electricity,
877,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Air heat pump,,efficiency_buildings_space_heater_heatpump_air_water_electricity,
878,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Hybrid air heat pump (gas),,efficiency_buildings_space_heater_hybrid_heatpump_air_water_electricity,
879,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Hybrid air heat pump (hydrogen),,efficiency_buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,
880,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Hybrid air heat pump (crude oil),,efficiency_buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity,
881,Costs & efficiencies,Heat,Efficiencies heating built environment ,Agriculture - COP,Water heat pump,,efficiency_agriculture_heatpump_water_water_electricity,
882,Costs & efficiencies,Heat,Efficiencies heating built environment ,Agriculture - COP,Water heat pump with TS,,efficiency_agriculture_heatpump_water_water_ts_electricity,
883,Costs & efficiencies,Heat,Costs heating ,Heat pumps,Electric heat pumps,,investment_costs_electric_heat_pumps,
884,Costs & efficiencies,Heat,Costs heating ,Heat pumps,Households LT heat delivery system,,investment_costs_gas_heat_pumps,
885,Costs & efficiencies,Heat,Costs heating ,Geothermal ,Investment costs geothermal energy,,investment_costs_geothermal,
886,Costs & efficiencies,Heat,Costs heating ,Geothermal ,O&M costs geothermal energy,,om_costs_geothermal,
887,Costs & efficiencies,Heat,Costs heating ,Solar thermal,Investment costs solar thermal energy,,investment_costs_solar_thermal,
888,Costs & efficiencies,Heat,Costs heating ,Solar thermal,O&M costs geothermal energy,,om_costs_solar_thermal,
889,Costs & efficiencies,Heat,Costs heating ,Residual heat,Imported (residual) heat,,costs_imported_heat,
890,Costs & efficiencies,Heat,Costs heating ,Residual heat,Industrial residual heat,,costs_industry_residual_heat,
891,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,HT apartments,,costs_households_ht_heat_delivery_system_costs_apartments_eur_per_connection,
892,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,MT apartments,,costs_households_mt_heat_delivery_system_costs_apartments_eur_per_connection,
893,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,LT apartments,,costs_households_lt_heat_delivery_system_costs_apartments_eur_per_connection,
894,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,HT ground level houses,,costs_households_ht_heat_delivery_system_costs_ground_level_houses_eur_per_connection,
895,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,MT ground level houses,,costs_households_mt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,
896,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,LT ground level houses,,costs_households_lt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,
897,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,HT buildings,,costs_buildings_ht_heat_delivery_system_costs_eur_per_connection,
898,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,MT buildings,,costs_buildings_mt_heat_delivery_system_costs_eur_per_connection,
899,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,LT buildings,,costs_buildings_lt_heat_delivery_system_costs_eur_per_connection,
900,Costs & efficiencies,Heat,Costs district heating infrastructure ,Indoor costs,,,costs_heat_infra_indoors,
901,Costs & efficiencies,Heat,Costs district heating infrastructure ,Pipelines and exchanger stations,,,costs_heat_infra_outdoors,
902,Costs & efficiencies,Heat,Costs district heating infrastructure ,Heat storage,HT (seasonal) storage,,costs_heat_network_storage_ht_steam_hot_water,
903,Costs & efficiencies,Heat,Costs district heating infrastructure ,Heat storage,MT (seasonal) storage,,costs_heat_network_storage_mt_steam_hot_water,
904,Costs & efficiencies,Heat,Costs district heating infrastructure ,Heat storage,LT (seasonal) storage,,costs_heat_network_storage_lt_steam_hot_water,
905,Costs & efficiencies,Hydrogen,Hydrogen production,Costs,Investment costs power-to-gas,,investment_costs_hydrogen_electrolysis,
906,Costs & efficiencies,Hydrogen,Hydrogen production,Costs,Investment costs ammonia reformer,,investment_costs_ammonia_reforming,
907,Costs & efficiencies,Hydrogen,Hydrogen production,Efficiencies (LHV),Power-to-gas electrolysers,,efficiency_hydrogen_electrolysis,
908,Costs & efficiencies,Hydrogen,Hydrogen production,Efficiencies (LHV),Ammonia reformer,,efficiency_ammonia_reforming,
909,Costs & efficiencies,Hydrogen,Hydrogen storage,Storage costs salt cavern,,,costs_hydrogen_storage_salt_cavern,
910,Costs & efficiencies,Hydrogen,Hydrogen storage,Storage costs depleted gas field,,,costs_hydrogen_storage_depleted_gas_field,
911,Costs & efficiencies,Hydrogen,Hydrogen transport,Onshore,Total costs H2 pipelines,,costs_hydrogen_transport_pipelines,
912,Costs & efficiencies,Hydrogen,Hydrogen transport,Onshore,Total costs H2 compressed trucks,,costs_hydrogen_transport_compressed_trucks,
913,Costs & efficiencies,Hydrogen,Hydrogen transport,Offshore,Total costs offshore H2 pipelines,,costs_hydrogen_transport_pipelines_offshore,
914,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,Hydrogen ,,,costs_hydrogen,
915,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,Liquid hydrogen,,,costs_imported_liquid_hydrogen,
916,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,LOHC,,,costs_imported_lohc,
917,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,Ammonia,,,costs_imported_ammonia,
918,Costs & efficiencies,Transport,Electric vehicles,,,,transport_vehicle_using_electricity_efficiency,
919,Costs & efficiencies,Transport,Hydrogen vehicles,,,,transport_vehicle_using_hydrogen_efficiency,
920,Costs & efficiencies,Transport,Combustion engine vehicles,,,,transport_vehicle_combustion_engine_efficiency,
921,Costs & efficiencies,Transport,Trains,,,,transport_trains_efficiency,
922,Costs & efficiencies,Transport,Ships,,,,transport_ships_efficiency,
923,Costs & efficiencies,Transport,Airplanes,,,,transport_planes_efficiency,
924,Costs & efficiencies,Fuel prices,Fossil fuels,Natural gas,,,costs_gas,
925,Costs & efficiencies,Fuel prices,Fossil fuels,Oil,,,costs_oil,
926,Costs & efficiencies,Fuel prices,Fossil fuels,Coal,,,costs_coal,
927,Costs & efficiencies,Fuel prices,Nuclear fuels,Uranium,,,costs_uranium,
928,Costs & efficiencies,Fuel prices,Biofuels,Green gas,,,costs_greengas,
929,Costs & efficiencies,Fuel prices,Biofuels,Biogas,,,costs_biogas,
930,Costs & efficiencies,Fuel prices,Biofuels,Wood,,,costs_wood,
931,Costs & efficiencies,Fuel prices,Biofuels,Biodiesel,,,costs_biodiesel,
932,Costs & efficiencies,Fuel prices,Biofuels,Bio-ethanol,,,costs_bio_ethanol,
933,Costs & efficiencies,Flexibility,Value of lost load,Value of lost load (VoLL),,,costs_electricity_fallback_price,
934,Costs & efficiencies,Flexibility,Electricity storage,Investment costs,Batteries in households per MWh,,investment_costs_households_flexibility_p2p_electricity,
935,Costs & efficiencies,Flexibility,Electricity storage,Investment costs,Large-scale batteries per MWh,,investment_costs_energy_flexibility_mv_batteries_electricity,
936,Costs & efficiencies,Flexibility,Electricity storage,Investment costs,Underground pumped storage hydro per MWh,,investment_costs_energy_flexibility_hv_opac_electricity,
937,Costs & efficiencies,Flexibility,Electricity storage,Investment costs,Flow batteries per MW,,volume_costs_energy_flexibility_flow_batteries_electricity,
938,Costs & efficiencies,Flexibility,Electricity storage,Investment costs,Flow batteries per MWh,,capacity_costs_energy_flexibility_flow_batteries_electricity,
939,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Batteries in households,,efficiency_households_flexibility_p2p_electricity,
940,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Batteries in electric vehicles,,efficiency_transport_flexibility_p2p_electricity,
941,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Large-scale batteries,,efficiency_energy_flexibility_mv_batteries_electricity,
942,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Reservoirs,,efficiency_energy_flexibility_pumped_storage_electricity,
943,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Underground pumped hydro storage,,efficiency_energy_flexibility_hv_opac_electricity,
944,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Flow batteries,,efficiency_energy_flexibility_flow_batteries_electricity,
945,Costs & efficiencies,Flexibility,Electricity storage,Electricity conversion ,Investment costs power-to-heat boilers,,investment_costs_flexibility_p2h_electricity,
946,Costs & efficiencies,CCUS,Prices,CO2 price,,,costs_co2,
947,Costs & efficiencies,CCUS,Prices,Free allocation,,,costs_co2_free_allocation,
948,Costs & efficiencies,CCUS,Prices,Captured biogenic CO2 price,,,costs_captured_biogenic_co2,
949,Costs & efficiencies,CCUS,CO2 capture in energy sector,Investment CO2,,,investment_costs_co2_ccs,
950,Costs & efficiencies,CCUS,CO2 capture in energy sector,Operational & maintenance,,,om_costs_co2_ccs,
951,Costs & efficiencies,CCUS,CO2 capture in industry,Investment ,,,investment_costs_co2_capture_industry,
952,Costs & efficiencies,CCUS,CO2 capture in industry,Operational & maintenance,,,om_costs_co2_capture_industry,
953,Costs & efficiencies,CCUS,CO2 storage,Investment,,,investment_costs_co2_storage,
954,Costs & efficiencies,CCUS,CO2 storage,Operational & maintenance,,,om_costs_co2_storage,
955,Costs & efficiencies,CCUS,CO2 utilisation,Investment,,,investment_costs_co2_utilisation,
956,Costs & efficiencies,CCUS,CO2 utilisation,Operational & maintenance,,,om_costs_co2_utilisation,
957,Costs & efficiencies,CCUS,CO2 transport,Investment,,,investment_costs_co2_transport,
958,Costs & efficiencies,CCUS,CO2 transport,Operational & maintenance,,,om_costs_co2_transport,
959,Costs & efficiencies,WACC,Households,,,,costs_wacc_households,
960,Costs & efficiencies,WACC,Public infrastructure,,,,costs_wacc_public_infrastructure,
961,Costs & efficiencies,WACC,Commercial / proven technologies,,,,costs_wacc_proven_technologies,
962,Costs & efficiencies,WACC,New / immature technologies,,,,costs_wacc_unproven_technologies,
