Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
148,Demand,Buildings,Lighting,Intelligent control,Motion detection,,buildings_lighting_savings_from_motion_detection_light,
149,Demand,Buildings,Lighting,Intelligent control,Daylight-dependent control,,buildings_lighting_savings_from_daylight_control_light,
150,Demand,Buildings,Development of demand,Electricity per building,,,buildings_useful_demand_electricity,
151,Demand,Buildings,Development of demand,Cooling per building,,,buildings_useful_demand_cooling,
152,Demand,Transport,Passenger transport,Applications,Passenger transport,,transport_useful_demand_passenger_kms,
153,Demand,Transport,Passenger transport,Applications,Cars,,transport_cars_share,
154,Demand,Transport,Passenger transport,Applications,Trains,,transport_passenger_trains_share,
155,Demand,Transport,Passenger transport,Applications,Trams/metros,,transport_trams_share,
156,Demand,Transport,Passenger transport,Applications,Buses,,transport_busses_share,
157,Demand,Transport,Passenger transport,Applications,Motorcycles,,transport_motorcycles_share,
158,Demand,Transport,Passenger transport,Applications,Bicycles,,transport_bicycles_share,
159,Demand,Transport,Passenger transport,Applications,Domestic planes,,transport_planes_share,
160,Demand,Transport,Passenger transport,Car technology,Electric,,transport_car_using_electricity_share,
161,Demand,Transport,Passenger transport,Car technology,Hydrogen,,transport_car_using_hydrogen_share,
162,Demand,Transport,Passenger transport,Car technology,Diesel,,transport_car_using_diesel_mix_share,
163,Demand,Transport,Passenger transport,Car technology,Gasoline,,transport_car_using_gasoline_mix_share,
164,Demand,Transport,Passenger transport,Car technology,LPG,,transport_car_using_lpg_share,
165,Demand,Transport,Passenger transport,Car technology,Compressed gas,,transport_car_using_compressed_natural_gas_share,
166,Demand,Transport,Passenger transport,Train technology,Electric,,transport_passenger_train_using_electricity_share,
167,Demand,Transport,Passenger transport,Train technology,Hydrogen,,transport_passenger_train_using_hydrogen_share,
168,Demand,Transport,Passenger transport,Train technology,Diesel ,,transport_passenger_train_using_diesel_mix_share,
169,Demand,Transport,Passenger transport,Train technology,Coal,,transport_passenger_train_using_coal_share,
170,Demand,Transport,Passenger transport,Bus technology ,Electric,,transport_bus_using_electricity_share,
171,Demand,Transport,Passenger transport,Bus technology ,Hydrogen,,transport_bus_using_hydrogen_share,
172,Demand,Transport,Passenger transport,Bus technology ,Diesel,,transport_bus_using_diesel_mix_share,
173,Demand,Transport,Passenger transport,Bus technology ,Gasoline,,transport_bus_using_gasoline_mix_share,
174,Demand,Transport,Passenger transport,Bus technology ,LNG,,transport_bus_using_lng_share,
175,Demand,Transport,Passenger transport,Bus technology ,Compressed gas,,transport_bus_using_compressed_natural_gas_share,
176,Demand,Transport,Passenger transport,Motorcycle technology,Gasoline,,transport_motorcycle_using_gasoline_mix_share,
177,Demand,Transport,Passenger transport,Motorcycle technology,Electric,,transport_motorcycle_using_electricity_share,
178,Demand,Transport,Passenger transport,Bicycle technology,Bike,,transport_bicycle_using_human_power_share,
179,Demand,Transport,Passenger transport,Bicycle technology,E-bike,,transport_bicycle_using_electricity_share,
180,Demand,Transport,Passenger transport,Domestic aviation technology,Kerosene,,transport_plane_using_kerosene_share,
181,Demand,Transport,Passenger transport,Domestic aviation technology,Gasoline,,transport_plane_using_gasoline_share,
182,Demand,Transport,Passenger transport,Domestic aviation technology,Bio-ethanol,,transport_plane_using_bio_ethanol_share,
183,Demand,Transport,Passenger transport,Domestic aviation technology,Hydrogen,,transport_plane_using_hydrogen_share,
184,Demand,Transport,Passenger transport,Domestic aviation technology,Electric,,transport_plane_using_electricity_share,
185,Demand,Transport,Freight transport,Freight transport,,,transport_useful_demand_freight_tonne_kms,
186,Demand,Transport,Freight transport,Trucks,,,transport_trucks_share,
187,Demand,Transport,Freight transport,Trains,,,transport_freight_trains_share,
188,Demand,Transport,Freight transport,Vans,,,transport_vans_share,
189,Demand,Transport,Freight transport,Domestic navigation,,,transport_ships_share,
190,Demand,Transport,Freight transport,Truck technology,Electric,,transport_truck_using_electricity_share,
191,Demand,Transport,Freight transport,Truck technology,Hydrogen,,transport_truck_using_hydrogen_share,
192,Demand,Transport,Freight transport,Truck technology,Diesel,,transport_truck_using_diesel_mix_share,
193,Demand,Transport,Freight transport,Truck technology,Gasoline,,transport_truck_using_gasoline_mix_share,
194,Demand,Transport,Freight transport,Truck technology,LNG,,transport_truck_using_lng_mix_share,
195,Demand,Transport,Freight transport,Truck technology,Compressed gas,,transport_truck_using_compressed_natural_gas_share,
196,Demand,Transport,Freight transport,Van technology,Electric,,transport_van_using_electricity_share,
197,Demand,Transport,Freight transport,Van technology,Hydrogen,,transport_van_using_hydrogen_share,
198,Demand,Transport,Freight transport,Van technology,Diesel,,transport_van_using_diesel_mix_share,
199,Demand,Transport,Freight transport,Van technology,Gasoline,,transport_van_using_gasoline_mix_share,
200,Demand,Transport,Freight transport,Van technology,LPG,,transport_van_using_lpg_share,
201,Demand,Transport,Freight transport,Van technology,Compressed gas,,transport_van_using_compressed_natural_gas_share,
202,Demand,Transport,Freight transport,Train technology,Electric,,transport_freight_train_using_electricity_share,
203,Demand,Transport,Freight transport,Train technology,Hydrogen,,transport_freight_train_using_hydrogen_share,
204,Demand,Transport,Freight transport,Train technology,Diesel,,transport_freight_train_using_diesel_mix_share,
205,Demand,Transport,Freight transport,Domestic navigation technology,Diesel (single / dual / multi-fuel engine),,transport_ship_using_diesel_mix_share,
206,Demand,Transport,Freight transport,Domestic navigation technology,LNG,,transport_ship_using_lng_mix_share,
207,Demand,Transport,Freight transport,Domestic navigation technology,Hydrogen,,transport_ship_using_hydrogen_share,
208,Demand,Transport,Freight transport,Domestic navigation technology,Electric,,transport_ship_using_electricity_share,
209,Demand,Transport,Freight transport,Domestic navigation technology,Ammonia,,transport_ship_using_ammonia_share,
210,Demand,Transport,International transport,International transport,International aviation,,bunkers_allocated_percentage_aviation,
211,Demand,Transport,International transport,International transport,International navigation,,bunkers_allocated_percentage_shipping,
212,Demand,Transport,International transport,Mobility growth,International aviation,,bunkers_useful_demand_planes,
213,Demand,Transport,International transport,Mobility growth,International navigation,,bunkers_useful_demand_ships,
214,Demand,Transport,International transport,International aviation technology,Kerosene (mix),,bunkers_aviation_using_kerosene_mix_share,
215,Demand,Transport,International transport,International aviation technology,Hydrogen,,bunkers_aviation_using_hydrogen_share,
