input,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
industry_other_paper_burner_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_other_paper_burner_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_other_paper_burner_wood_pellets_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_other_paper_burner_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_other_paper_heater_electricity_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
capacity_of_industry_other_paper_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_useful_demand_for_aggregated_other_energetic,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_useful_demand_for_aggregated_other_non_energetic,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_useful_demand_for_aggregated_other_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_aggregated_other_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_aggregated_other_industry_wood_pellets_share_energetic,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
industry_aggregated_other_industry_electricity_share,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
industry_aggregated_other_industry_crude_oil_share_energetic,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
industry_aggregated_other_industry_network_gas_share_energetic,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
industry_aggregated_other_industry_coal_share_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aggregated_other_industry_cokes_share_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aggregated_other_industry_useable_heat_share,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
industry_aggregated_other_industry_hydrogen_share_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aggregated_other_industry_wood_pellets_share_non_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aggregated_other_industry_crude_oil_share_non_energetic,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_aggregated_other_industry_network_gas_share_non_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aggregated_other_industry_coal_share_non_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
